FID,Id,ORIG_FID,FID_FTroad,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Leng,level,Shape_Le_1,POINT_X,POINT_Y
715,0,1245,674,260266061,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.01082089,1,0.004526107,114.0779583,22.53358521
716,0,1245,674,260266061,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.01082089,1,0.004526107,114.0774919,22.53273078
717,0,1245,674,260266061,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.01082089,1,0.004526107,114.0767141,22.53217339
718,0,1245,674,260266061,5113,primary,滨河大道辅路, ,F,40,0,F,F,0.01082089,1,0.004526107,114.0757514,22.53206109
719,0,1249,690,269974955,5115,tertiary,中心四路, ,F,0,-2,F,T,0.002363738,1,0.002363738,114.0534407,22.53322124
720,0,1249,690,269974955,5115,tertiary,中心四路, ,F,0,-2,F,T,0.002363738,1,0.002363738,114.0534219,22.53419479
721,0,1252,691,269974975,5115,tertiary,中心五路, ,F,0,-1,F,T,0.002399832,1,0.002755055,114.0560394,22.53363493
722,0,1252,691,269974975,5115,tertiary,中心五路, ,F,0,-1,F,T,0.002399832,1,0.002755055,114.0560718,22.53266175
723,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0429126,22.53437607
724,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0420222,22.53398203
725,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0411267,22.53359995
726,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0402827,22.53311638
727,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0394615,22.53259309
728,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0386366,22.53207577
729,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0378043,22.53157108
730,0,1254,612,241489261,5115,tertiary,福田新沙路, ,F,0,0,F,F,0.008268773,1,0.007942459,114.0369464,22.53111052
731,0,1260,37,25530053,5114,secondary,华强南路, ,F,0,0,F,F,0.002640052,1,0.001753735,114.0821692,22.53389942
732,0,1266,1565,879817599,5113,primary,香蜜湖路辅路, ,F,0,0,F,F,0.003991828,1,0.000501367,114.0235167,22.53811809
733,0,1266,1565,879817599,5113,primary,香蜜湖路辅路, ,F,0,0,F,F,0.003991828,1,0.000501367,114.0237712,22.53717821
734,0,1266,1565,879817599,5113,primary,香蜜湖路辅路, ,F,0,0,F,F,0.003991828,1,0.000501367,114.0240256,22.53623832
735,0,1266,1565,879817599,5113,primary,香蜜湖路辅路, ,F,0,0,F,F,0.003991828,1,0.000501367,114.0242801,22.53529843
736,0,1266,1565,879817599,5113,primary,香蜜湖路辅路, ,F,0,0,F,F,0.003991828,1,0.000501367,114.0245344,22.5343585
737,0,1267,141,40933471,5131,motorway_link,福田立交, ,F,0,0,F,F,0.002251348,1,0.002251348,114.0143753,22.53351836
